User_Name,Date,Time,Preprocessed_Text,Sentiment
HeavenOverHeels,5/4/2023,1:04:54,best known phony bennett chris dembitz uva alum basketball fan former photographer former standup comedian importantly father dembitz 49 died tuesday battling cancer,Negative
GregMadia,5/4/2023,1:04:25,top 9 uva 9 jmu 8 one nobody though,Negative
GregMadia,5/4/2023,1:02:18,top 9 uva 9 jmu 6 dukes runners second third tying run plate outs jay woolfolk hit leadoff man jake gelof made throwing error,Negative
GregMadia,5/4/2023,0:45:10,top 8 uva 9 jmu 6 dukes getting cavaliers bullpen jason schiavones tworun homer evan blanco cuts hoos lead three brian oconnor isnt wasting anymore time hes bringing jay woolfolk fourout save,Positive
HooVApolitics,5/4/2023,0:36:49,huge loss uva basketball family…won ’ around november march without humor,Negative
sports_shoppin,5/4/2023,0:34:59,loss family uva community provided bright light laughter building amazing basketball program glad least able see championship,Positive
GregMadia,5/4/2023,0:33:33,end 7 uva 9 jmu 3 griff oferralls sac fly added cavaliers advantage hoos couldve ethan odonnell robbed extra bases dukes cf jack cone made diving grab end inning,Positive
VaTalent,5/4/2023,0:26:35,one nations top point guards recruiting class 2024 planning take official visit uva,Negative
GregMadia,5/4/2023,0:20:00,mid 7 uva 8 jmu 3 dukes added run jack cones sac fly three runs charged cavaliers reliever chase hungate,Positive
GregMadia,5/4/2023,0:09:59,top 7 uva 8 jmu 2 kyle novak rbi double dukes jason schiavone followed rbi single,Positive
GregMadia,5/4/2023,0:04:16,end 6 uva 8 jmu 0 connelly earlys final line 6 ip 5 h 1 bb 6 ks hes reliable midweek throughout spring hoos chase hungate bullpen begin 7th,Positive
GregMadia,5/3/2023,23:35:18,bottom 5 uva 8 jmu 0 casey saucke rbi triple scored wild pitch,Negative
GregMadia,5/3/2023,23:28:43,mid 5 uva 6 jmu 0 connelly early five scoreless hes struck five,Negative
nexus7724,5/3/2023,22:59:44,experienced writers editors help achieve academic success providing highquality plagiarismfree assignments tailored specific requirements tufts tuftsuniversity jumbos medford bu terriers judson waltham uva virginia wahoowa cavaliers,Positive
GSwaim,5/3/2023,22:54:39,great updates today course possibly schools jumping aboard conference realignment train along clemson fsu besides mentioned mostand takes eight unc theu vatech ncstate cardnation uva 🏈🏀,Negative
GregMadia,5/3/2023,22:53:16,mid 3 uva 6 jmu 0 outstanding relay cavaliers casey saucke luke hanson kyle teel nab coleman calabrese home plate mason dunaways double keep dukes board end frame,Positive
yuneydyandexru1,5/3/2023,22:48:18,send student ai summer camp 100 free nationwide ai summer camp directory click link amp follow us stanford university university virginia 1 slot left utaustin 1 slot left many education summercamp uva,Negative
GregMadia,5/3/2023,22:41:46,end 2 uva 6 jmu 0 kyle teel added rbi single teel gelof odonnell two hits,Positive
GregMadia,5/3/2023,22:36:17,bottom 2 uva 5 jmu 0 jake gelof doubles second time many innings one scores odonnell gelof 73 rbi year,Negative
GregMadia,5/3/2023,22:32:59,bottom 2 uva 4 jmu 0 ethan odonnells rbi single extends cavaliers lead griff oferrall drove run ground batter,Positive
GregMadia,5/3/2023,22:17:49,end 1 uva 2 jmu 0 kyle teels rbi chopped single scored jake gelof doubled earlier inning gelofs double pushed ethan odonnell third odonnell scored wild pitch,Positive
DennisWLNI,5/3/2023,21:43:46,rough weekend many mondaymourning back show recap unfortunate events weekend sports including collapse epic proportions bostonbruins ufcs songyadong player dillonbrooks uva ⚾️ 🔗,Negative
DennisWLNI,5/3/2023,21:41:28,teels deal joined us talk latest area ncaa athletics including losing transfer portal battle steps could taken lessen use portal amp 66 would success uva amp vt 🏈 🔗,Negative
GregMadia,5/3/2023,21:41:07,uva lineup griff oferrall ss ethan odonnell cf jake gelof 3b kyle teel c ethan anderson 1b casey saucke rf anthony stephan dh luke hanson 2b harrison didawick lf,Negative
GregMadia,5/3/2023,21:39:52,21 virginia 3611 hosts james madison 2419 6 pm first pitch dish uva start lhp connelly early 81 326 era jmu rhp sean culkin 10 785 era,Positive
yuneydyandexru1,5/3/2023,21:39:32,send student ai summer camp 100 free nationwide ai summer camp directory click link stanford university university virginia 1 slot left utaustin 1 slot left dm us uptodate info summercamp uva oxford,Negative
TrippFranklin,5/3/2023,21:02:07,jack eliason latest uva runner break 4minute barrier mile former standout ran 3 59 64 sunday virginia high performance lannigan field hear minutes tonight news 5 6pm,Positive
bcam_14,5/3/2023,20:53:38,uva fan apparently forever cursed former owner house either tech fan graduate never forwarded stuff new residence,Negative
FatWhite101,5/3/2023,20:47:58,uva evaluating wr indiana per vip,Negative
hchorey,5/3/2023,19:49:24,heartbreaking news chris much fun talk virginia basketball everything else rip uva original,Positive
The_Superhoo,5/3/2023,18:50:49,oh man sad chris fantastic guy feel fortunate gotten celebrate uvas title banner raising many drinks virginian loss community rip friend,Positive
jefferson_trust,5/3/2023,18:46:21,april 21st brought active grant directors trustees university partners together second annual jefferson trust summit learn 📸 grantfunding grantseekers impactuva jeffersontrust uva grants,Positive
philiosaurushoo,5/3/2023,18:45:04,thank much sharing omg amount smiles brought people amount held us together tough times ’ understated ’ sorry please let uva twitter know family needs got,Positive
TPfromdaville,5/3/2023,18:42:39,rip definitely one uva communitys beloved social media people ✊🏾 rest easy peace 🕊️,Positive
JacquieFran_,5/3/2023,18:38:33,vip scoop uva coaches road week expected check big instate programs next days,Negative
GregMadia,5/3/2023,18:04:17,episcopal te john rogers found ideal fit uva bonded oc des kitchings committing monday hoos benefitted targeting rogers early “ duke wake started reach got uva offer ”,Positive
Wayward02870148,5/3/2023,17:02:14,blm activist zyahna bryant ruined white uva student ’ rep ‘ misheard ’ remark racism lied ruin life innocent women terrorized campus amp called f–king nazi students students cruel amp dont seek truth,Negative
HoppyK47,5/3/2023,16:30:48,love well spoken well said let ’ hope law put place current one enforced ’ supposed one law professoramandafrost uva,Positive
UVAdvisors,5/3/2023,16:02:56,universal value advisors takes pride creating creative solutions clients agencies cut dry “ one size fits ” approach finance unfortunately work every client every situation free analysis uva,Negative
QuantumPhizix,5/3/2023,15:53:43,strobe neotropolis neotropolisevent neo neon uva uplighting festival desert lights,Negative
VT_JoeRogers_38,5/3/2023,15:33:39,almost unbelievable scene virginia tech fans storming field road win uva scott stadium,Positive
thesabre,5/3/2023,15:09:03,newslink updated uva sports news baseball softball football lots swimming today,Negative
VaTalent,5/3/2023,15:05:31,uva beginning fill nonconference schedule 20232024 mens basketball season seven nonconference games reportedly scheduled,Negative
hunnitbill,5/3/2023,15:05:17,breaking uva picks commitment instate te john rogers story,Negative
CvilleVAChamber,5/3/2023,14:52:30,looking forward wonderful grand opening celebration uva pipelines amp pathways join us jefferson school african american heritage center monday may 8 ribboncutting grandopening careerpathways charlottesville cville albemarlecountyva uva,Positive
daily_research,5/3/2023,14:50:55,participants needed online survey topic investigating influence website design via uvaamsterdam websitedesign business thesis influence websites design uva study,Negative
ImageSports5,5/3/2023,14:26:42,last weekend wr dontayvion wicks became latest uva football player hear name called nfldraft current cavaliers could join list next years draft early look virginias potential 2024 nfl draft prospects,Positive
DM_UrFuturePrez,5/3/2023,14:18:25,’ honor work infamous jbd coadvisor secondyearcouncil special student leaders uva2025 connect2grounds secondyearexperience studentengagement connections community uva hrl,Negative
DM_UrFuturePrez,5/3/2023,14:18:12,check cool views last night secondyearcouncil uva2025 connect2grounds secondyearexperience studentengagement connections community uva hrl,Negative
DM_UrFuturePrez,5/3/2023,14:18:05,new bucket trucker hats uva2025 connect2grounds sunglasses fanny packs students loved new swag 😎 secondyearcouncil secondyearexperience studentengagement connections community uva hrl,Negative
DM_UrFuturePrez,5/3/2023,14:17:57,appreciate kind hoos superstars stopping … check brooklyn ’ ashley ’ cool face art secondyearcouncil uva2025 connect2grounds secondyearexperience studentengagement community uva hrl,Positive
DM_UrFuturePrez,5/3/2023,14:17:55,800 students last night second year send secondyearcouncil uva2025 connect2grounds secondyearexperience studentengagement connections community uva hrl,Negative
DM_UrFuturePrez,5/3/2023,14:17:41,talk putting bow ldoc proud second year council ’ hosting great event last night secondyearcouncil uva2025 connect2grounds secondyearexperience studentengagement connections community uva hrl,Positive
